StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q35,QID2,QID2_5_TEXT,QID3,QID3_10_TEXT,QID4,1._1,2.,3.,4.,5.,6.,7.,8._1,8._2,8._3,8._4,8._5,8._6,9.,10._1,11._1,11._2,11._3,11._4,12.,13.,Q_RecaptchaStatus,Q_RecaptchaError
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"This study is conducted by Diogo Andrade, NOVA IMS. Participation is voluntary and may be stopped at any time. All responses are anonymous and used exclusively for academic research. No personally identifiable information will be collected or disclosed. By proceeding, you confirm that:

	You have read and understood the information above.
	You are at least 18 years old.
	You voluntarily agree to participate in this study.



In case of any questions, contact: 20211561@novaims.unl.pt",What best describes your current situation? - Selected Choice,What best describes your current situation? - Other: - Text,What is your primary field of study or professional area? - Selected Choice,What is your primary field of study or professional area? - Other: - Text,To what extent is working with data part of your current academic or professional activities?,"1. Before this questionnaire, how familiar were you with the concept of data preparation? - Not familiar at all:Very familiar",2. Approximately how many times have you performed data preparation tasks in the past?,3. Which of the following approaches have you used to support data preparation tasks?,4. Which type of tool do you use most often for data preparation?,"5. Which specific tool do you use most often within the category you just selected? 
Please specify just the name of the tool (e.g., Excel, Python, OpenRefine)","6. When performing data preparation tasks, in approximately what percentage of situations do you use conversational AI assistants to help you? (e.g., ChatGPT, Claude)",7. Which conversational AI assistant do you most frequently use to ask for help with data preparation tasks?,"8. Below you will find a list of common data preparation tasks. For each task, please indicate how difficult you personally find it to perform, using a scale from Very Easy to Very Difficult. Your answers should reflect your own experience, regardless of the tools you typically use. - 8.1 Filling missing values","8. Below you will find a list of common data preparation tasks. For each task, please indicate how difficult you personally find it to perform, using a scale from Very Easy to Very Difficult. Your answers should reflect your own experience, regardless of the tools you typically use. - 8.2 Detecting and handling errors and inconsistencies in raw data","8. Below you will find a list of common data preparation tasks. For each task, please indicate how difficult you personally find it to perform, using a scale from Very Easy to Very Difficult. Your answers should reflect your own experience, regardless of the tools you typically use. - 8.3 Identifying and handling outliers/extreme values","8. Below you will find a list of common data preparation tasks. For each task, please indicate how difficult you personally find it to perform, using a scale from Very Easy to Very Difficult. Your answers should reflect your own experience, regardless of the tools you typically use. - 8.4 Understanding the semantic meaning of columns","8. Below you will find a list of common data preparation tasks. For each task, please indicate how difficult you personally find it to perform, using a scale from Very Easy to Very Difficult. Your answers should reflect your own experience, regardless of the tools you typically use. - 8.5 Deciding how to transform or encode data for analysis","8. Below you will find a list of common data preparation tasks. For each task, please indicate how difficult you personally find it to perform, using a scale from Very Easy to Very Difficult. Your answers should reflect your own experience, regardless of the tools you typically use. - 8.6 Deciding which data and features should be included or excluded before modelling","9. Before this study, were you aware that AI/LLM-based systems can be used not only to suggest data preparation steps, but also to help apply them within a data preparation tool?",10. How confident do you feel about using data preparation systems with integrated LLMs that automatically apply transformations? - Not confident at all:Very confident,"11. Below you will find a set of statements regarding data preparation systems.
For each statement, please indicate the extent to which you agree, using a scale from ""Strongly disagree"" to ""Strongly agree"". - 11.1 Systems that automatically suggest or apply data preparation steps can significantly reduce the effort required for data preparation","11. Below you will find a set of statements regarding data preparation systems.
For each statement, please indicate the extent to which you agree, using a scale from ""Strongly disagree"" to ""Strongly agree"". - 11.2 I prefer to retain control over data transformations rather than fully automating them","11. Below you will find a set of statements regarding data preparation systems.
For each statement, please indicate the extent to which you agree, using a scale from ""Strongly disagree"" to ""Strongly agree"". - 11.3 I trust automated data preparation systems more when I can inspect or modify the steps they perform","11. Below you will find a set of statements regarding data preparation systems.
For each statement, please indicate the extent to which you agree, using a scale from ""Strongly disagree"" to ""Strongly agree"". - 11.4 Transparency and reproducibility are important when using intelligent data preparation tools","12. In your opinion, what should be the ideal role of intelligent systems in data preparation?",13. What feature would you consider essential or truly transformative in a system that automatically prepares data using large language models?,Q_RecaptchaStatus,Q_RecaptchaError
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID35""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_5_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_10_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_0""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID19_0""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_0""}","{""ImportId"":""QID26_0""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID16""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""Q_RecaptchaStatus""}","{""ImportId"":""Q_RecaptchaError""}"
2026-04-17 18:45:41,2026-04-17 18:46:33,Survey Preview,,100,52,True,2026-04-17 18:46:33,R_8R45BHnfyr5Q1Kq,,,,,38.7219,-9.1398,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-19 11:49:01,2026-04-19 11:56:26,IP Address,109.51.107.249,100,444,True,2026-04-19 11:56:27,R_2R2AWtL44u0ZUXp,,,,,38.6757,-9.2333,anonymous,EN,,I agree to participate in the study,Other:,Professor,Computer Science / Software Engineering,,Working with data is a central part of my role,,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Dedicated data preparation tools (e.g., OpenRefine, KNIME, Trifacta),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",python,26-50% of the time,ChatGPT,,,,,,,"Yes, but I have never used such systems",,,,,,"Automatically perform tasks, while allowing user inspection and control","detect missing and outliers, suggest spiting ratio",,
2026-05-19 17:41:43,2026-05-19 17:47:47,IP Address,85.244.11.226,100,364,True,2026-05-19 17:47:48,R_21MBQOqqOqjBzvX,,,,,39.0525,-9.0125,anonymous,EN,1,I agree to participate in the study,Undergraduate student,,Social Sciences,,I occasionally work on tasks that involve analysing or handling data,,1-5 times,"Spreadsheet-based tools (e.g., Excel, Power Query)","Spreadsheet-based tools (e.g., Excel, Power Query)",excel,1-25% of the time,Gemini / Bard,,,,,,,"No, I was not aware of this possibility",,,,,,"Automatically perform tasks, while allowing user inspection and control",,complete,
2026-05-19 18:19:39,2026-05-19 18:24:55,IP Address,148.69.42.119,100,315,True,2026-05-19 18:24:55,R_2ERv57QchzoBqCt,,,,,38.7219,-9.1398,anonymous,EN,1,I agree to participate in the study,Working professionally,,Management / Business / Economics,,I rarely engage in tasks involving data,,1-5 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",Excel,1-25% of the time,ChatGPT,,,,,,,"Yes, but I have never used such systems",,,,,,"Automatically perform tasks, while allowing user inspection and control","Inspection on what transformations have been done ",complete,
2026-05-20 09:33:04,2026-05-20 09:38:01,IP Address,31.22.160.120,100,296,True,2026-05-20 09:38:02,R_2L7n3A7Bpn0yNWM,,,,,38.7294,-9.1538,anonymous,EN,1,I agree to participate in the study,Master's student,,Data Science / Analytics,,Working with data is a central part of my role,,20-39 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",Python,76-100% of the time,Claude,,,,,,,"Yes, and I have used such systems",,,,,,"Automatically perform tasks, while allowing user inspection and control","Discussing with the user what it should be performed and why ",complete,
2026-05-21 08:21:48,2026-05-21 08:29:09,IP Address,31.22.202.175,100,440,True,2026-05-21 08:29:09,R_83yxuOFfByQ5Edw,,,,,38.7294,-9.1538,anonymous,EN,1,I agree to participate in the study,Working professionally,,Management / Business / Economics,,I regularly work with data as part of my studies or job,6,Never,,,,,,,Difficult,Easy,Easy,Very Difficult,Very Difficult,"Yes, but I have never used such systems",1,Strongly agree,Disagree,Agree,Strongly agree,"Automatically perform tasks, while allowing user inspection and control",Flexibility,complete,
2026-05-22 08:18:29,2026-05-22 08:18:42,IP Address,31.22.161.161,100,13,True,2026-05-22 08:18:43,R_8YFcaUR7Ow7TVe2,,,,,38.7219,-9.1398,anonymous,EN,1,I do not agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,complete,
2026-05-23 18:56:58,2026-05-23 19:02:50,IP Address,87.196.83.242,100,352,True,2026-05-23 19:02:50,R_2EEOZexxC1ROfvP,,,,,41.1459,-8.6169,anonymous,EN,1,I agree to participate in the study,Master's student,,Data Science / Analytics,,I regularly work with data as part of my studies or job,8,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",,26-50% of the time,Claude,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,"Yes, and I have used such systems",4,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Automatically perform tasks, while allowing user inspection and control",,complete,
