respondent_id,response_status,consent_confirmed,current_situation,field_or_professional_area,role_of_data_in_current_activity,q1_data_preparation_familiarity,q2_prior_data_preparation_frequency,q3_approaches_used,q4_most_used_tool_category,q6_share_of_tasks_using_conversational_ai,q7_most_used_conversational_ai,q8_1_difficulty_missing_values,q8_2_difficulty_errors_and_inconsistencies,q8_3_difficulty_outliers,q8_4_difficulty_column_semantics,q8_5_difficulty_transform_or_encode,q8_6_difficulty_feature_inclusion,q9_awareness_of_llm_integrated_systems,q10_confidence_in_llm_integrated_systems,q11_1_automation_reduces_effort,q11_2_prefer_control_over_full_automation,q11_3_trust_when_steps_are_inspectable,q11_4_transparency_and_reproducibility_important,q12_ideal_role_of_intelligent_systems
PRE-001,Complete,Yes,Other:,Computer Science / Software Engineering,Working with data is a central part of my role,,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Dedicated data preparation tools (e.g., OpenRefine, KNIME, Trifacta),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",26-50% of the time,ChatGPT,,,,,,,"Yes, but I have never used such systems",,,,,,"Automatically perform tasks, while allowing user inspection and control"
PRE-002,Complete,Yes,Undergraduate student,Social Sciences,I occasionally work on tasks that involve analysing or handling data,,1-5 times,"Spreadsheet-based tools (e.g., Excel, Power Query)","Spreadsheet-based tools (e.g., Excel, Power Query)",1-25% of the time,Gemini / Bard,,,,,,,"No, I was not aware of this possibility",,,,,,"Automatically perform tasks, while allowing user inspection and control"
PRE-003,Complete,Yes,Working professionally,Management / Business / Economics,I rarely engage in tasks involving data,,1-5 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",1-25% of the time,ChatGPT,,,,,,,"Yes, but I have never used such systems",,,,,,"Automatically perform tasks, while allowing user inspection and control"
PRE-004,Complete,Yes,Master's student,Data Science / Analytics,Working with data is a central part of my role,,20-39 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",76-100% of the time,Claude,,,,,,,"Yes, and I have used such systems",,,,,,"Automatically perform tasks, while allowing user inspection and control"
PRE-005,Complete,Yes,Working professionally,Management / Business / Economics,I regularly work with data as part of my studies or job,6,Never,,,,,,Difficult,Easy,Easy,Very Difficult,Very Difficult,"Yes, but I have never used such systems",1,Strongly agree,Disagree,Agree,Strongly agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-006,Complete,Yes,Master's student,Data Science / Analytics,I regularly work with data as part of my studies or job,8,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",26-50% of the time,Claude,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,"Yes, and I have used such systems",4,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Automatically perform tasks, while allowing user inspection and control"
PRE-007,Complete,Yes,Master's student,Data Science / Analytics,Working with data is a central part of my role,8,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Data preparation systems with integrated LLMs that automatically apply transformations,Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)",Data preparation systems with integrated LLMs that automatically apply transformations,51-75% of the time,Claude,Very Easy,Easy,Easy,Difficult,Easy,Neither easy nor diffficult,"Yes, and I have used such systems",4,Agree,Agree,Neither agree nor disagree,Strongly agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-008,Complete,Yes,Master's student,Engineering (non-computing),Working with data is a central part of my role,8,6-19 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",76-100% of the time,ChatGPT,Easy,Difficult,Difficult,Difficult,Neither easy nor diffficult,Difficult,"No, I was not aware of this possibility",2,Agree,Agree,Agree,Agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-009,Complete,Yes,Master's student,Health / Life Sciences,I occasionally work on tasks that involve analysing or handling data,2,1-5 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Data preparation systems with integrated LLMs that automatically apply transformations,Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",26-50% of the time,ChatGPT,Neither easy nor diffficult,Easy,Easy,Easy,Easy,Neither easy nor diffficult,"Yes, and I have used such systems",2,Agree,Agree,Agree,Strongly agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-010,Complete,Yes,Working professionally,Other:,Working with data is a central part of my role,8,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",51-75% of the time,ChatGPT,Easy,Easy,Neither easy nor diffficult,Very Easy,Neither easy nor diffficult,Neither easy nor diffficult,"Yes, but I have never used such systems",3,Agree,Agree,Neither agree nor disagree,Agree,"Automatically perform tasks, while allowing user inspection and control"
